epoch,train_loss,val_loss,lr
1,1.1345859182641862,1.3058299511307623,0.0009990133642141358
2,1.0574778014041009,1.1363731976447067,0.000996057350657239
3,1.0352447489474683,1.0963054162457706,0.0009911436253643444
4,1.0284155161950042,1.1978605538000906,0.0009842915805643156
5,1.024416926904773,1.1289969153278243,0.0009755282581475769
6,1.035809881861892,1.2387168146972733,0.0009648882429441258
7,1.0190668449897857,1.2708861544364836,0.0009524135262330099
8,1.0271524948994881,1.2368844535534944,0.0009381533400219318
9,1.023141442179398,1.3190184489377146,0.0009221639627510075
10,1.0180801192637594,1.2829086384395274,0.0009045084971874736
11,1.0269480656224785,1.3495281106693957,0.0008852566213878945
12,1.0212390721548816,1.3218426854024088,0.0008644843137107056
13,1.0120646234945203,1.2555625877244685,0.0008422735529643443
