epoch,train_loss,val_loss,lr
1,0.0015145155671933317,0.0002783214493807996,0.0009990133642141358
2,0.0007437435588381092,0.00030938599554905137,0.000996057350657239
3,0.0006684146496196482,0.0002606376627937141,0.0009911436253643444
4,0.0006189522509304609,0.00026169323600919506,0.0009842915805643156
5,0.0005963945420883843,0.00026576991045821035,0.0009755282581475769
6,0.0005803794816662568,0.00027595789737742,0.0009648882429441258
7,0.0005729682928630443,0.00024626459675553306,0.0009524135262330099
8,0.0005620062640476223,0.00028273205715799476,0.0009381533400219318
9,0.000559959851808617,0.00025194753313955765,0.0009221639627510075
10,0.0005494796385576874,0.00024496331267679733,0.0009045084971874736
11,0.0005488523154686828,0.00026523536667454896,0.0008852566213878945
12,0.0005446064524544099,0.00025314164614850067,0.0008644843137107056
13,0.0005425640085192472,0.00023870673316920827,0.0008422735529643443
14,0.00053852650829003,0.0002386435575080975,0.0008187119948743448
15,0.0005347368198839934,0.00024122002213243092,0.0007938926261462366
16,0.0005377971533637485,0.00023664612885246553,0.0007679133974894982
17,0.0005323108077604086,0.00023657423754059898,0.0007408768370508576
18,0.0005318445976973284,0.0002822975655998732,0.0007128896457825362
19,0.0005307336568768548,0.0002432440107544445,0.0006840622763423389
20,0.0005267162517761156,0.00024130407801727061,0.0006545084971874735
21,0.0005295386297923312,0.00023808439129232846,0.0006243449435824271
22,0.0005237650804344925,0.00023931511277919712,0.0005936906572928622
23,0.0005264393950869763,0.00023570606294296288,0.000562666616782152
24,0.0005237159553703898,0.00023367991673332313,0.0005313952597646566
25,0.0005241210095476509,0.00024730816795358177,0.0004999999999999998
26,0.0005230023366031424,0.00023552352916051794,0.00046860474023534314
27,0.0005227860954180624,0.0002468445713819209,0.00043733338321784774
28,0.0005226550702485597,0.00023928333293434567,0.00040630934270713756
29,0.0005204596331185632,0.0002418471446092339,0.00037565505641757246
30,0.0005198922670164518,0.00023427222274732208,0.00034549150281252633
31,0.0005196727056553847,0.00023438765457263445,0.00031593772365766105
32,0.0005188967429743265,0.0002323354450546629,0.00028711035421746355
33,0.0005185103515079399,0.00024440618810656566,0.0002591231629491422
34,0.000517452497450287,0.00023189802820665565,0.00023208660251050145
35,0.0005177551660032824,0.00023496455259287987,0.00020610737385376337
36,0.0005180484523207398,0.00023538244408328178,0.00018128800512565502
37,0.000518623510503318,0.00023123790328750553,0.00015772644703565555
38,0.0005169472776586741,0.000235169419187795,0.00013551568628929425
39,0.0005153214043484072,0.0002337644019588162,0.00011474337861210535
40,0.0005169189855705145,0.00023070221924889318,9.549150281252626e-05
41,0.0005161929175193833,0.00023248992132484853,7.783603724899252e-05
42,0.0005152199521108176,0.00023122750434691344,6.184665997806817e-05
43,0.0005158088936461642,0.00023160407159238962,4.7586473766990294e-05
44,0.0005164388340846118,0.00023143522784954345,3.5111757055874305e-05
45,0.0005155060157932817,0.00023109128718109181,2.4471741852423218e-05
46,0.0005149225703408682,0.00023200015094494676,1.5708419435684507e-05
47,0.0005156193242296048,0.00023178792474848195,8.856374635655634e-06
48,0.0005136797937094487,0.0002316555380489965,3.942649342761115e-06
49,0.0005151081318916405,0.0002316236959740035,9.866357858642198e-07
50,0.0005158658405539115,0.00023163724747463698,0.0
