sigma2,snr_db,bler
0.05,13.010299956639813,0.66682
0.1,10.0,0.84666
0.15,8.239087409443188,0.913985
0.25,6.020599913279624,0.96184
0.35,4.559319556497244,0.97847
0.5,3.010299956639812,0.987545
