epoch,train_loss,val_loss,lr
1,0.0030875821849969754,0.00030901489852231025,0.0009990133642141358
2,0.0010254613958281546,0.0002825553318375828,0.000996057350657239
3,0.0007822265230387836,0.000311337152781813,0.0009911436253643444
4,0.0007010448121864252,0.00029955930701207095,0.0009842915805643156
5,0.0006420633585817548,0.0002696428515870745,0.0009755282581475769
6,0.0006077968110616625,0.00024940151455282136,0.0009648882429441258
7,0.000591987345602152,0.00023935443690478256,0.0009524135262330099
8,0.0005768737472245914,0.00024128347179545772,0.0009381533400219318
9,0.0005719606023189341,0.00026886019315305583,0.0009221639627510075
10,0.0005661532962331483,0.00030184403886238673,0.0009045084971874736
11,0.000554221884188425,0.00025865864018129745,0.0008852566213878945
12,0.0005472490426932349,0.00024777189584740443,0.0008644843137107056
13,0.0005408969902363,0.00024257686187426097,0.0008422735529643443
14,0.0005433627319782003,0.0002514202572685492,0.0008187119948743448
15,0.0005395689369047206,0.00024493227450638947,0.0007938926261462366
16,0.0005363385698341943,0.00025077417861515033,0.0007679133974894982
17,0.0005303984905601904,0.00024844186602451844,0.0007408768370508576
