epoch,train_loss,val_loss,lr
1,0.003831217825042863,0.0006434711851501399,0.0009990133642141358
2,0.0017735176952555776,0.0006072736717665917,0.000996057350657239
3,0.0014916245451848734,0.0006753252028881353,0.0009911436253643444
4,0.0014189417962751068,0.0006436751977960784,0.0009842915805643156
5,0.0013555678732728423,0.0006242234892083135,0.0009755282581475769
6,0.001317937801433529,0.0005651279778515057,0.0009648882429441258
7,0.0013031033129182513,0.0005724795216626329,0.0009524135262330099
8,0.0012879768211997817,0.0005639928023470944,0.0009381533400219318
9,0.0012852593598090306,0.000593722215143782,0.0009221639627510075
10,0.0012828885978329971,0.0006239201156119626,0.0009045084971874736
11,0.0012664117635146277,0.0005881194859587898,0.0008852566213878945
12,0.001256020572344744,0.0005705644018338554,0.0008644843137107056
13,0.0012515239064178779,0.0005668996877275499,0.0008422735529643443
14,0.001257921915267975,0.0006007084031911128,0.0008187119948743448
15,0.0012534022541500927,0.0005701372352129651,0.0007938926261462366
16,0.0012440792321784524,0.0005761019559482461,0.0007679133974894982
17,0.0012379267897531742,0.0005895643789847419,0.0007408768370508576
18,0.0012459230268523803,0.0005675754237757254,0.0007128896457825362
