step,loss,sigma,lr,val_bler
0,2.101578712463379,0.5,1e-06,0.99951171875
500,0.8304758071899414,0.5,0.00025100000000000003,0.81884765625
1000,0.7463476061820984,0.5,0.000501,0.78466796875
1500,0.7310770153999329,0.5,0.000751,0.7850341796875
2000,0.7469444274902344,0.5,0.0009999999968528048,0.7928466796875
2500,0.7128649950027466,0.5,0.0009992102588219365,0.7808837890625
3000,0.7238924503326416,0.5,0.000996849820626807,0.782470703125
3500,0.7252922058105469,0.5,0.0009929261090792561,0.784423828125
4000,0.7246860265731812,0.5,0.0009874514696274462,0.786376953125
4500,0.7261334657669067,0.5,0.000980443127512514,0.7896728515625
5000,0.713346540927887,0.5,0.0009719231335715897,0.777099609375
5500,0.7167702317237854,0.5,0.0009619182948577062,0.7806396484375
6000,0.7279762029647827,0.5,0.0009504600902948906,0.7857666015625
6500,0.7183177471160889,0.5,0.0009375845716338252,0.7861328125
7000,0.7135426998138428,0.5,0.000923332250019701,0.7874755859375
7500,0.6980314254760742,0.5,0.0009077479685291668,0.7900390625
8000,0.6985871195793152,0.5,0.0008908807610774207,0.78466796875
8500,0.7126250267028809,0.5,0.000872783698139372,0.772216796875
9000,0.7361770868301392,0.5,0.0008535137197702918,0.77685546875
9500,0.7190428376197815,0.5,0.0008331314564513348,0.78173828125
10000,0.714061975479126,0.5,0.0008117010383236134,0.7840576171875
10500,0.7013022899627686,0.5,0.0007892898934110488,0.783203125
11000,0.7186168432235718,0.5,0.0007659685354668607,0.783203125
11500,0.7137311697006226,0.5,0.0007418103421112131,0.7818603515625
12000,0.7152209281921387,0.5,0.0007168913239580735,0.786865234375
12500,0.7139621376991272,0.5,0.0006912898854577002,0.7861328125
13000,0.7246149778366089,0.5,0.0006650865782072358,0.7806396484375
13500,0.7051443457603455,0.5,0.0006383638475055801,0.7763671875
14000,0.7221988439559937,0.5,0.0006112057729499786,0.7899169921875
14500,0.7060291767120361,0.5,0.0005836978038905031,0.78271484375
15000,0.720098078250885,0.5,0.0005559264905747829,0.7646484375
15500,0.7175182104110718,0.5,0.0005279792118289058,0.769287109375
16000,0.7144314050674438,0.5,0.0004999439001313037,0.764404296875
16500,0.7234645485877991,0.5,0.0004719087649446433,0.7718505859375
17000,0.7192569375038147,0.5,0.0004439620151762232,0.7735595703125
17500,0.7149100303649902,0.5,0.0004161915816401162,0.785400390625
18000,0.713046669960022,0.5,0.00038868484039429775,0.782958984375
18500,0.713189959526062,0.5,0.00036152833782324156,0.779052734375
19000,0.7027862071990967,0.5,0.0003348075183309741,0.771484375
19500,0.7146390676498413,0.5,0.0003086064555013695,0.7730712890625
20000,0.7269389033317566,0.5,0.00028300758757154887,0.773681640625
20500,0.7314072847366333,0.5,0.000258091458050689,0.7711181640625
21000,0.6959550976753235,0.5,0.00023393646230034177,0.77001953125
21500,0.7128100395202637,0.5,0.00021061860087362617,0.7681884765625
22000,0.7206913232803345,0.5,0.00018821124038936822,0.7637939453125
22500,0.7114030122756958,0.5,0.0001667848826935764,0.7659912109375
23000,0.7082716226577759,0.5,0.0001464069430345506,0.7708740234375
23500,0.711283802986145,0.5,0.0001271415379495693,0.7713623046875
24000,0.7098720073699951,0.5,0.00010904928353054378,0.7623291015625
24500,0.7259939908981323,0.5,9.218710470336516e-05,0.7724609375
25000,0.7103149890899658,0.5,7.660805612102956e-05,0.7689208984375
25500,0.7049400806427002,0.5,6.23611552340696e-05,0.77685546875
26000,0.7241454720497131,0.5,4.949122806352141e-05,0.7706298828125
26500,0.7220779657363892,0.5,3.803876816167806e-05,0.759033203125
27000,0.7093719840049744,0.5,2.803980920439253e-05,0.7659912109375
27500,0.708737850189209,0.5,1.9525811615803302e-05,0.768798828125
28000,0.7272904515266418,0.5,1.2523563582199582e-05,0.7615966796875
28500,0.7056461572647095,0.5,7.055096766477476e-06,0.760498046875
29000,0.7088050842285156,0.5,3.1376169883770013e-06,0.7786865234375
29500,0.7026636600494385,0.5,7.834500886081397e-07,0.7711181640625
29999,0.7128098011016846,0.5,0.0,0.7586669921875
