epoch,train_loss,val_loss,lr
1,0.2390688600692343,0.0012669505275089323,0.0009990133642141358
2,0.0008049305735087687,0.0006398146785606396,0.000996057350657239
3,0.0005505252676992842,0.00047270263326581476,0.0009911436253643444
4,0.000418986130330214,0.0003620182600334226,0.0009842915805643156
5,0.0003307609696130557,0.0002856777911831632,0.0009755282581475769
6,0.0002695041627185001,0.00023098689907635525,0.0009648882429441258
7,0.00021752383991064235,0.0001914365521378482,0.0009524135262330099
8,0.00018582713261690325,0.00016154312470462173,0.0009381533400219318
9,0.00016051206756884068,0.0001382672707540763,0.0009221639627510075
10,0.00013699585114480226,0.00012024049931092233,0.0009045084971874736
11,0.0001229152049545648,0.00010567564346659096,0.0008852566213878945
12,0.00010645826377514551,9.39601812250458e-05,0.0008644843137107056
13,9.5437886423886e-05,8.440405443666609e-05,0.0008422735529643443
14,8.61608390783039e-05,7.638698724160971e-05,0.0008187119948743448
15,8.038538857982395e-05,6.952518441078322e-05,0.0007938926261462366
16,7.28539260299425e-05,6.383027496527146e-05,0.0007679133974894982
17,6.752684890266715e-05,5.882929986185674e-05,0.0007408768370508576
18,6.251259059027382e-05,5.455327245579063e-05,0.0007128896457825362
19,5.7678414318734234e-05,5.0862630208333336e-05,0.0006840622763423389
20,5.426333593522489e-05,4.7644948630832226e-05,0.0006545084971874735
21,5.0665075368089404e-05,4.478392562245935e-05,0.0006243449435824271
22,4.7721479528203244e-05,4.2287315106174596e-05,0.0005936906572928622
23,4.554076682931433e-05,4.0054321229908375e-05,0.000562666616782152
24,4.3599318105278284e-05,3.807331476553638e-05,0.0005313952597646566
25,4.236354332740075e-05,3.6425706994345e-05,0.0004999999999999998
26,3.970092071738231e-05,3.478197547478404e-05,0.00046860474023534314
27,3.771015378955067e-05,3.350265635858002e-05,0.00043733338321784774
28,3.658823370384482e-05,3.2072144529045884e-05,0.00040630934270713756
29,3.5323431639272685e-05,3.095952475943216e-05,0.00037565505641757246
30,3.420799337394908e-05,2.9974836644118393e-05,0.00034549150281252633
31,3.342763757116842e-05,2.911808058239493e-05,0.00031593772365766105
32,3.159750721014317e-05,2.8509434704892187e-05,0.00028711035421746355
33,3.16893800948064e-05,2.776122674709413e-05,0.0002591231629491422
34,3.081095137553021e-05,2.6943237800908284e-05,0.00023208660251050145
35,2.9447512739958864e-05,2.6648606711286838e-05,0.00020610737385376337
36,2.939114900107438e-05,2.595467296073107e-05,0.00018128800512565502
37,2.8952639170863992e-05,2.5694932394880588e-05,0.00015772644703565555
38,2.8762129745303033e-05,2.51599443341488e-05,0.00013551568628929425
39,2.8131983240727273e-05,2.490795724760226e-05,0.00011474337861210535
40,2.7978955730206905e-05,2.471412100443026e-05,9.549150281252626e-05
41,2.7187608952718528e-05,2.447764081733748e-05,7.783603724899252e-05
42,2.7588636889389383e-05,2.41442425086587e-05,6.184665997806817e-05
43,2.7393336563955125e-05,2.3989173454966973e-05,4.7586473766990294e-05
44,2.7117999767318772e-05,2.393877603174225e-05,3.5111757055874305e-05
45,2.694045400832357e-05,2.388450188365409e-05,2.4471741852423218e-05
46,2.662509893738427e-05,2.382247428583905e-05,1.5708419435684507e-05
47,2.687338116498533e-05,2.379533721179497e-05,8.856374635655634e-06
48,2.7090381535179372e-05,2.3775953587477768e-05,3.942649342761115e-06
49,2.6536889682288874e-05,2.376820013775089e-05,9.866357858642198e-07
50,2.677305373368013e-05,2.376432341288745e-05,0.0
