Date,Close,High,Low,Open,Volume
2020-01-02,118.43034362792969,118.43874578267754,116.894247864113,117.3391265882161,10803700
2020-01-03,116.86746978759766,117.61932738145413,115.8030460933789,116.15785399145182,10386800
2020-01-06,116.77454376220703,116.80834235675412,115.31307036252512,115.36375536395883,10259000
2020-01-07,114.789306640625,116.46197611772448,114.7386216398624,115.97199962637478,10531300
2020-01-08,115.68477630615234,116.22543779956246,114.55276831844789,114.63723902312606,9695300
2020-01-09,116.10716247558594,116.77453643657483,115.76924100324855,116.6224814418126,9469000
2020-01-10,114.9498291015625,115.94666858948106,114.73017688935886,115.91288288242792,10190900
2020-01-13,115.90443420410156,115.90443420410156,114.68794242614126,115.0512064747436,12355200
2020-01-14,117.25608825683594,118.9118586169676,116.31837696958193,116.52957308932032,24906000
2020-01-15,115.49891662597656,117.08711531876233,115.0173833621649,116.45352706030666,16293400
2020-01-16,115.94666290283203,116.49576762563402,115.6002981931816,116.11561721058746,10783800
2020-01-17,116.74919128417969,116.825218779833,116.00578984270439,116.19163053528384,14697700
2020-01-21,115.60029602050781,116.63939012992965,115.47358351466961,115.89597572131315,8474200
2020-01-22,115.46511840820312,116.07336416952491,115.21169341630751,115.93820847064264,7549100
2020-01-23,115.34685516357422,115.51582235421289,113.80935427377966,114.64569546204845,9345700
2020-01-24,112.4830322265625,115.25392389240491,111.78187255224552,115.2032388933349,15166400
2020-01-27,111.53690338134766,112.30566041744393,109.5770099234989,110.0500872102076,12860500
2020-01-28,113.56436920166016,114.0205600304097,111.9170420764822,112.2211649988526,13062800
2020-01-29,113.39539337158203,114.50205874594496,112.93921551977509,113.88536981412163,9326000
2020-01-30,114.79776763916016,115.00052056402674,112.09445975954947,112.09445975954947,9048900
2020-01-31,111.81566619873047,113.90228474459799,111.06380858154169,113.61506113587133,12785200
2020-02-03,112.66890716552734,113.40387846246576,112.06911737570073,112.06911737570073,10021100
2020-02-04,114.2908706665039,115.39754900868036,114.11347316909516,114.51052285047751,9157100
2020-02-05,116.23387908935547,116.35214838626727,114.89911822970134,115.37220830773515,10150700
2020-02-06,116.25080108642578,116.82524838634481,115.82840881634799,116.78301947164832,8992300
2020-02-07,115.87910461425781,116.30149692365893,115.14414612082474,115.50739731952237,6379800
