Date,Close,High,Low,Open,Volume
2020-01-02,52.94703674316406,53.0366472613868,52.45415610287842,52.45415610287842,12456400
2020-01-03,52.5213623046875,53.298018972674384,52.394410290044334,53.27561064875411,17386900
2020-01-06,52.92463302612305,53.29055592888231,52.44669128037195,52.513899167658025,20081900
2020-01-07,52.49148941040039,52.663246675150795,51.908998342961205,52.64831349028677,17387700
2020-01-08,51.69989776611328,52.49148757911794,51.655086818056034,52.35706612997431,15137700
2020-01-09,52.09569549560547,52.20024488421433,51.25182524788692,51.63268699068455,14811800
2020-01-10,51.6326904296875,52.24505361697494,51.617757243540616,52.22265098899725,11995600
2020-01-13,52.12556076049805,52.17783544798009,51.61027762852249,51.67748549920784,9953900
2020-01-14,51.67750549316406,51.96128736144449,51.446004030106515,51.811926984055894,16261000
2020-01-15,51.59535598754883,51.96874836504453,51.44600131555676,51.67750276639913,11390300
2020-01-16,51.39372253417969,51.96128049826015,51.37878934717116,51.75218169505026,13340300
2020-01-17,51.199546813964844,51.58787796973205,50.99791749280745,51.34143770136216,18144100
2020-01-21,50.467708587646484,51.095004965964634,50.415433889453304,51.06513289592356,17982600
2020-01-22,50.17646789550781,50.55732400607954,50.03457697342305,50.45277459954824,17033100
2020-01-23,49.86281204223633,49.982300329355446,49.32513184274566,49.81800678332422,19605900
2020-01-24,49.526756286621094,49.79559920842388,49.317657502444376,49.69104981633553,18238600
2020-01-27,48.34684371948242,49.08616473336553,48.31697164540998,48.854657583682936,21231000
2020-01-28,48.279632568359375,48.69036073973226,48.26469368357335,48.62315285074068,19664700
2020-01-29,47.876365661621094,48.638083518307376,47.71954156458318,48.56340619079145,14202800
2020-01-30,48.38418197631836,48.45138986531622,47.36855431635048,47.62992782497857,18544700
2020-01-31,46.390262603759766,47.19679140956521,46.19609984426443,47.19679140956521,34282900
2020-02-03,45.352230072021484,45.8675104392825,45.08338715040451,45.83764121924739,27389300
2020-02-04,44.78468322753906,46.233444644756254,44.72493907899016,45.889924336873484,31922100
2020-02-05,46.845802307128906,46.995159811836494,45.25515015219438,45.367168992914436,32099200
2020-02-06,46.211036682128906,47.05490131734316,46.13635650505853,46.995160024444324,16055400
2020-02-07,45.90485382080078,46.046741880212295,45.59867222509155,45.86004571578575,15112500
2020-02-10,45.42005157470703,45.844255905013156,45.16249946160253,45.81395497649367,20934500
2020-02-11,45.85182571411133,46.124528267815315,45.579123160407335,45.889703316302146,14908700
2020-02-12,46.412384033203125,46.609334283845044,45.87455557024296,46.46540921182424,17862100
2020-02-13,46.15482711791992,46.52600332959165,45.87455079017624,46.253303677807516,16949400
2020-02-14,45.94272994995117,46.329056653523146,45.66245071105115,46.32148286663781,10855300
2020-02-18,45.35945129394531,45.74577800758823,45.03372354593116,45.56397822104645,18948500
2020-02-19,45.7078857421875,45.91998637493012,45.32155917688425,45.53365980962686,12804900
2020-02-20,45.344303131103516,45.85940736853651,45.238252768630076,45.624579501876994,14817200
2020-02-21,44.79132080078125,45.079170937324506,44.533768701478294,45.079170937324506,20315700
2020-02-24,42.69303894042969,43.78384654828057,42.69303894042969,43.6474952360922,32096600
2020-02-25,41.05681228637695,42.98845137369569,40.88258631038755,42.98845137369569,36414500
2020-02-26,40.155391693115234,41.5264785901328,40.094792715880416,41.321951623860166,29801000
2020-02-27,37.73893737792969,39.723601693993785,37.72378691571177,39.17062282648816,48141300
2020-02-28,38.966102600097656,38.966102600097656,36.36785712229842,36.94356322663866,62446700
2020-03-02,40.814414978027344,40.82198876488796,38.73127394305072,39.83723176264828,38127600
2020-03-03,38.860050201416016,41.01894364517307,38.617648556382,40.86744189461293,50580700
2020-03-04,39.70845031738281,39.75390170298993,38.72369341313638,39.56452526410965,24079600
2020-03-05,37.9586181640625,38.40554672594713,37.148087145168326,38.19344312544997,40788200
2020-03-06,36.125457763671875,37.12536538784038,35.75428146588138,36.996590763202505,55640500
2020-03-09,31.70918846130371,33.762028175745904,30.90623139429847,31.595561452602688,72896300
2020-03-10,32.88332748413086,35.04221791221696,31.398616772546895,34.974042272927115,60445900
2020-03-11,31.80008888244629,32.93634743041692,31.625862918516045,32.1106661033054,51986100
2020-03-12,28.164066314697266,30.792612406407716,28.02771503739696,30.22448304754156,65725300
2020-03-13,28.876123428344727,30.406285657570493,26.51270588433081,30.307809083753693,79891500
2020-03-16,26.126375198364258,28.694319288418537,25.18706677500598,26.05819956368781,48924700
2020-03-17,27.8837890625,28.315567129960225,25.906698495889877,26.671778069387134,41204400
2020-03-18,25.088592529296875,27.80803860155149,23.656906958743896,26.171826108111595,54036400
2020-03-19,26.0809268951416,26.436955572723193,24.505313325096324,25.550672217158844,49412400
2020-03-20,24.800745010375977,26.649058408798222,23.906886351726452,26.391506281262227,76534600
2020-03-23,23.823556900024414,24.77043910678488,22.808499058790986,24.64166162404477,56952500
2020-03-24,26.846010208129883,27.398989212706848,25.247675058292526,26.073353781422693,61835600
2020-03-25,28.24739646911621,29.23215358784042,26.649058514507583,27.656539886157073,56607700
2020-03-26,29.406381607055664,29.966937297883188,27.815620221437392,28.40647395501173,46722000
2020-03-27,27.989845275878906,28.542824269566804,27.421715816515963,28.126196577298483,51558600
2020-03-30,28.406461715698242,28.898841541298896,27.164152919009794,27.444429198834694,45835000
2020-03-31,28.762496948242188,29.88360521657065,28.307991721846072,29.042773292910457,41491600
2020-04-01,28.4291934967041,29.315476839800063,27.52776257957377,27.921665966543586,36045900
2020-04-02,30.603240966796875,31.784948377443335,28.70947612701132,29.3457812287655,62000200
2020-04-03,29.70179557800293,31.95158826312127,29.17911772444162,31.398609490313152,48425700
2020-04-06,30.656261444091797,30.928964001494347,29.716952956333603,30.209332894938807,41301900
2020-04-07,31.239538192749023,32.81514863960233,31.17893634611943,32.496997613762225,48921800
2020-04-08,33.216636657714844,33.36056464585366,31.413774473813056,31.77737700391903,33355600
2020-04-09,32.67123031616211,35.3830999388662,31.61829757621601,34.436217562705224,60107300
2020-04-13,32.39095687866211,33.85294376160528,31.792529305423198,33.67114393088791,29651900
2020-04-14,32.14097213745117,33.14087958754878,31.74706876473766,32.5727502231908,30769000
2020-04-15,30.66383934020996,31.103194161494773,29.83058398283942,31.05774276595145,33125000
2020-04-16,29.656356811523438,30.66383814471423,29.48970459068432,30.66383814471423,30934000
2020-04-17,32.73940658569336,32.815156021365084,30.20176003551024,30.209336712870858,40829100
2020-04-20,31.194091796875,32.37580198825581,30.709288504920483,30.868364043282643,39260800
2020-04-21,31.027433395385742,31.913716584627828,30.01995229697506,30.60323204433071,44381600
2020-04-22,31.913721084594727,32.519725164161706,31.709194165930487,32.26974685590917,27074200
2020-04-23,32.91362762451172,33.830208950013144,32.42882437431775,32.67122599941473,35271000
2020-04-24,33.125732421875,34.004439143965776,32.67123004100779,33.63326287384387,28653800
2020-04-27,33.28480911254883,33.572662171494805,31.989474681775572,33.019683196187906,28274400
